[sym]
index	val	kind	addr
0	const	3	RW	
1	c1	ID	0
2	=	20	RW	
3	2	NUM	0
4	;	30	RW	
5	var	4	RW	
6	v1	ID	1
7	,	29	RW	
8	v2	ID	2
9	,	29	RW	
10	v3	ID	3
11	,	29	RW	
12	v4	ID	4
13	;	30	RW	
14	procedure	5	RW	
15	p1	ID	5
16	;	30	RW	
17	var	4	RW	
18	v5	ID	6
19	;	30	RW	
20	begin	6	RW	
21	v5	ID	6
22	:=	26	RW	
23	2	NUM	1
24	;	30	RW	
25	write	15	RW	
26	(	27	RW	
27	v5	ID	6
28	/	19	RW	
29	2	NUM	2
30	+	16	RW	
31	2	NUM	3
32	-	17	RW	
33	1	NUM	4
34	)	28	RW	
35	;	30	RW	
36	while	12	RW	
37	v3	ID	3
38	#	21	RW	
39	0	NUM	5
40	do	13	RW	
41	begin	6	RW	
42	v4	ID	4
43	:=	26	RW	
44	v1	ID	1
45	/	19	RW	
46	v2	ID	2
47	;	30	RW	
48	v3	ID	3
49	:=	26	RW	
50	v1	ID	1
51	-	17	RW	
52	v4	ID	4
53	*	18	RW	
54	v2	ID	2
55	;	30	RW	
56	v1	ID	1
57	:=	26	RW	
58	v2	ID	2
59	;	30	RW	
60	v2	ID	2
61	:=	26	RW	
62	v3	ID	3
63	;	30	RW	
64	end	7	RW	
65	;	30	RW	
66	end	7	RW	
67	;	30	RW	
68	procedure	5	RW	
69	p2	ID	7
70	;	30	RW	
71	const	3	RW	
72	c2	ID	8
73	=	20	RW	
74	2	NUM	6
75	;	30	RW	
76	procedure	5	RW	
77	p3	ID	9
78	;	30	RW	
79	begin	6	RW	
80	if	9	RW	
81	v1	ID	1
82	#	21	RW	
83	1	NUM	7
84	then	10	RW	
85	begin	6	RW	
86	v1	ID	1
87	:=	26	RW	
88	v1	ID	1
89	-	17	RW	
90	1	NUM	8
91	;	30	RW	
92	v2	ID	2
93	:=	26	RW	
94	v2	ID	2
95	*	18	RW	
96	v1	ID	1
97	;	30	RW	
98	call	11	RW	
99	p3	ID	9
100	;	30	RW	
101	end	7	RW	
102	;	30	RW	
103	end	7	RW	
104	;	30	RW	
105	begin	6	RW	
106	call	11	RW	
107	p3	ID	9
108	;	30	RW	
109	if	9	RW	
110	odd	8	RW	
111	c2	ID	8
112	then	10	RW	
113	write	15	RW	
114	(	27	RW	
115	c2	ID	8
116	)	28	RW	
117	;	30	RW	
118	if	9	RW	
119	c2	ID	8
120	=	20	RW	
121	2	NUM	9
122	then	10	RW	
123	write	15	RW	
124	(	27	RW	
125	c2	ID	8
126	+	16	RW	
127	1	NUM	10
128	)	28	RW	
129	end	7	RW	
130	;	30	RW	
131	begin	6	RW	
132	read	14	RW	
133	(	27	RW	
134	v1	ID	1
135	,	29	RW	
136	v2	ID	2
137	)	28	RW	
138	;	30	RW	
139	if	9	RW	
140	v1	ID	1
141	<	22	RW	
142	v2	ID	2
143	then	10	RW	
144	begin	6	RW	
145	v3	ID	3
146	:=	26	RW	
147	v1	ID	1
148	;	30	RW	
149	v1	ID	1
150	:=	26	RW	
151	v2	ID	2
152	;	30	RW	
153	v2	ID	2
154	:=	26	RW	
155	v3	ID	3
156	;	30	RW	
157	end	7	RW	
158	;	30	RW	
